"","x"
"1",2.49947486215366
"2",7.22806087509336
"3",8.06612221579044
"4",1.69472821218324
"5",7.82592398696794
"6",14.1866927636864
"7",9.9454774314613
"8",4.28160455921946
"9",12.6952677806891
"10",18.600169742997
"11",12.8431709484635
"12",7.54543364652049
"13",14.4617435262672
"14",18.7877928629985
"15",9.4331907228341
"16",5.30949301224008
"17",14.1530684895618
"18",15.5618292533518
"19",8.09969879662946
"20",7.95725612600935
"21",16.3832910609882
"22",18.5036825711517
"23",6.81110923260181
"24",6.17616405957013
"25",17.9782008277383
"26",17.7692928217974
"27",7.91833589111929
"28",7.77989674849981
"29",21.1648372940175
"30",17.1938435672409
"31",13.5912415715183
"32",14.4679776260301
"33",25.3438477534911
"34",19.3893968749361
"35",19.4807306694038
"36",18.2522738173986
"37",28.1197188486837
"38",17.737929523113
"39",19.371844063001
"40",21.7298825294515
"41",31.5213303976437
"42",18.973368304244
"43",26.2663776165576
"44",29.6192102409223
"45",31.1983749668448
"46",18.8064650950415
"47",27.809462825379
"48",32.8711031015306
"49",37.6329442196844
"50",24.5000003850312
"51",34.6779935062054
"52",37.4795624324178
"53",42.5504989349107
"54",29.8570792627956
"55",37.9015199634066
"56",42.6645319067788
"57",50.686817557831
"58",38.346668519029
"59",45.135770220607
"60",51.1709417593529
"61",57.7745638041594
"62",47.799002160919
"63",51.7160502873273
"64",55.9118307683743
"65",59.7569587079941
"66",49.3603127236557
"67",52.416521743747
"68",48.4190487007136
"69",47.6367044105282
"70",36.8714402092023
"71",41.2535261662928
"72",40.2801972879389
"73",35.0930796104845
"74",25.8203497572125
"75",25.9143794201532
"76",27.8155855735827
"77",24.649126247471
"78",12.2208769611012
"79",10.8336406762397
"80",16.2428140699438
"81",10.4956661169368
"82",-0.829514797868832
"83",-0.903747262142707
"84",6.66521433301702
"85",2.25216060875862
"86",-4.62740880600395
"87",-4.50418637970602
"88",3.94903996495125
"89",-0.712334467271937
"90",-9.24353720447668
"91",-9.52681628379313
"92",-3.04578304680345
"93",-9.00149773227634
"94",-15.954094463312
"95",-16.6472192264337
"96",-9.42445795444888
"97",-11.300132058214
"98",-20.1303549891953
"99",-24.3595862819724
"100",-16.0220284652111
